Site_ID,Serial_No,Object_No,Item,File,Caption,Display_Order,As_found,Estimated_Original,Notes
M055,623,M055P07,Pedestal,detail_assets/stone_objects/AI_623.jpg,Pedestal,7,"North-west of M.55, Bous Lok",M.55,
M057,624,M057D01,Doorframe,detail_assets/stone_objects/AI_624.jpg,Doorframe,1,"North-east of M.57-2, Leang Prah",M.57,
M057,625,M057D02,Doorframe,detail_assets/stone_objects/AI_625.jpg,Doorframe,2,"East side of M.57-1, Leang Prah",M.57,
M057,626,M057M01,Moonstone,detail_assets/stone_objects/AI_626.jpg,Moonstone,3,"North-east of M.57-1, Leang Prah",M.57,
M057,627,M057P01,Pedestal,detail_assets/stone_objects/AI_627.jpg,Pedestal,4,"North-east side of M.57-2, Leang Prah",M.57,
M057,628,M057P02,Pedestal,detail_assets/stone_objects/AI_628.jpg,Pedestal,5,"North-east side of M.57-2, Leang Prah",M.57,
M057,629,M057U01,Unknown,detail_assets/stone_objects/AI_629.jpg,Unknown,6,"South side of M57-1, Leang Prah",Unknown,
M057,630,M057U02,Unknown,detail_assets/stone_objects/AI_630.jpg,Unknown,7,"East side of M.57-2, Leang Prah",M.57,
M057,631,M057U03,Unknown,detail_assets/stone_objects/AI_631.jpg,Unknown,8,"East side of M.57-1, Leang Prah",M.57,
M057,632,M057U04,Unknown,detail_assets/stone_objects/AI_632.jpg,Unknown,9,"North-east side of M.57-2, Leang Prah",M.57,
M057,633,M057U05,Unknown,detail_assets/stone_objects/AI_633.jpg,Unknown,10,"South-east of M.57-1, Leang Prah",M.57,
M057,634,M057U06,Unknown,detail_assets/stone_objects/AI_634.jpg,Unknown,11,"South-east side of M.57-1, Leang Prah",M.57,
M057,635,M057U07,Unknown,detail_assets/stone_objects/AI_635.jpg,Unknown,12,"South-east side of M57-1, Leang Prah",M.57,
M057,636,M057U08,Unknown,detail_assets/stone_objects/AI_636.jpg,Unknown,13,"South side of M.57-3, Leang Prah",M.57,
M057,637,M057U09,Unknown,detail_assets/stone_objects/AI_637.jpg,Unknown,14,"South-west side of M.57-3, Leang Prah",M.57,
M057,638,M057U10,Unknown,detail_assets/stone_objects/AI_638.jpg,Unknown,15,"In the pit of M.57-3, Leang Prah",M.57,
M057,639,M057U11,Unknown,detail_assets/stone_objects/AI_639.jpg,Unknown,16,"In the pit of M.57-3, Leang Prah",M.57,
M057,640,M057U12,Unknown,detail_assets/stone_objects/AI_640.jpg,Unknown,17,"North-east side of M.57-1, Leang Prah",M.57,
M057,641,M057U13,Unknown,detail_assets/stone_objects/AI_641.jpg,Unknown,18,"North-east side of M.57-1, Leang Prah",M.57,
M057,642,M057U14,Unknown,detail_assets/stone_objects/AI_642.jpg,Unknown,19,"North-east side of M.57-1, Leang Prah",M.57,
M057,643,M057W01,Drainage,detail_assets/stone_objects/AI_643.jpg,Drainage,20,"South-east side of M.57-3, Leang Prah",M.57,
M059,644,M059S01,Step,detail_assets/stone_objects/AI_644.jpg,Step,1,"South-east side of M.59, Kneas Sarc",M.59,
M061,645,M061P01,Pedestal,detail_assets/stone_objects/AI_645.jpg,Pedestal,1,"North-east side of M.61, Tamon",M.61,
M061,646,M061U01,Unknown,detail_assets/stone_objects/AI_646.jpg,Unknown,2,"East side of M.61, Tamon",M.61,
M062,647,M062P01,Pedestal,detail_assets/stone_objects/AI_647.jpg,Pedestal,1,"West side of M.62, Tamon",M.62,
M063,648,M063D01,Doorframe,detail_assets/stone_objects/AI_648.jpg,Doorframe,1,"East side of M.63, Tamon",M.63,
M068,649,M068W01,Drainage,detail_assets/stone_objects/AI_649.jpg,Drainage,1,North side of M.68,M.68,
M069,650,M069P01,Pedestal,detail_assets/stone_objects/AI_650.jpg,Pedestal,1,North-east side of M.69,M.69,
M070,651,M070U01,Unknown,detail_assets/stone_objects/AI_651.jpg,Unknown,1,"North-east of M.70, Donmong",M.70,
M071,652,M071D01,Doorframe,detail_assets/stone_objects/AI_652.jpg,Doorframe,1,"South-east side of M.71, Donmong",M.71,
M071,653,M071D02,Doorframe,detail_assets/stone_objects/AI_653.jpg,Doorframe,2,"East side of M.71, Donmong",M.71,
M077,654,M077P01,Pedestal,detail_assets/stone_objects/AI_654.jpg,Pedestal,1,"North side of M.77, Russey",M.77,
M083,655,M083L01,Lintel,detail_assets/stone_objects/AI_655.jpg,Lintel,1,East side of M.83,M.83,
M084,656,M084D01,Doorframe,detail_assets/stone_objects/AI_656.jpg,Doorframe,1,"South side of M.84, Roung",M.84,
M086,657,M086C01,Colonette,detail_assets/stone_objects/AI_657.jpg,Colonette,1,East side of M.86,M.86,
M086,658,M086U01,Unknown,detail_assets/stone_objects/AI_658.jpg,Unknown,2,South-east of M.86,M.86,
M086,659,M086U02,Unknown,detail_assets/stone_objects/AI_659.jpg,Unknown,3,South-east side of M.86,M.86,
M086,660,M086U03,Unknown,detail_assets/stone_objects/AI_660.jpg,Unknown,4,West side of M.86,M.86,
M086,661,M086U04,Unknown,detail_assets/stone_objects/AI_661.jpg,Unknown,5,West side of M.86,Unknown,
M087,662,M087M01,Moonstone,detail_assets/stone_objects/AI_662.jpg,Moonstone,1,In the pit of M.87,M.87,
M088,663,M088M01,Moonstone,detail_assets/stone_objects/AI_663.jpg,Moonstone,1,East side of M.88 (north); Gnep Sheet,M.88,
M088,664,M088P01,Pedestal,detail_assets/stone_objects/AI_664.jpg,Pedestal,2,In the pit of M.88 (north); Gnep Sheet,M.88,
M088,665,M088P02,Pedestal,detail_assets/stone_objects/AI_665.jpg,Pedestal,3,In the pit of M.88 (north); Gnep Sheet,M.88,
M089,666,M089P01,Pedestal,detail_assets/stone_objects/AI_666.jpg,Pedestal,1,"West side of M.89, Roung",M.89,
M089,667,M089P02,Pedestal,detail_assets/stone_objects/AI_667.jpg,Pedestal,2,"In the pond near M.89, Roung",M.89,
M090,668,M090U01,Unknown,detail_assets/stone_objects/AI_668.jpg,Unknown,1,"North side of M.90, Proeng Thom",M.90,
M091,669,M091U01,Unknown,detail_assets/stone_objects/AI_669.jpg,Unknown,1,North side of M.91,M.91,
M092,670,M092C01,Colonentte,detail_assets/stone_objects/AI_670.jpg,Colonentte,1,"South side of M.92, Thkas",M.92,
M092,671,M092D01,Doorframe,detail_assets/stone_objects/AI_671.jpg,Doorframe,2,"South side of M.92, Thkas",M.92,
M092,672,M092U01,Unknown,detail_assets/stone_objects/AI_672.jpg,Unknown,3,"South side of M.92, Thkas",M.92,
M092,673,M092U02,Unknown,detail_assets/stone_objects/AI_673.jpg,Unknown,4,"South side of M.92, Thkas",M.92,
M092,674,M092U03,Unknown,detail_assets/stone_objects/AI_674.jpg,Unknown,5,"South side of M.92, Thkas",M.92,
M093,675,M093P01,Pedestal,detail_assets/stone_objects/AI_675.jpg,Pedestal,1,South side of M.93-1,Unknown,
M098,676,M098U01,Unknown,detail_assets/stone_objects/AI_676.jpg,Unknown,1,East side of M.98,M.98,
M099,677,M099C01,Colonette,detail_assets/stone_objects/AI_677.jpg,Colonette,1,"North-east side of M.99, Trapang Srortei",M.99,
