Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
M049,drawing,M049,detail_assets/drawings/M049_drawing_02.jpg,,2,,,
M049,drawing,M049,detail_assets/drawings/M049_drawing_03.jpg,,3,,,
M049,drawing,M049,detail_assets/drawings/M049_drawing_04.jpg,,4,,,
M049,drawing,M049,detail_assets/drawings/M049_drawing_05.jpg,,5,,,
M049,drawing,M049,detail_assets/drawings/M049_drawing_06.jpg,,6,,,
M049,drawing,M049,detail_assets/drawings/M049_drawing_07.jpg,,7,,,
M052,drawing,M052,detail_assets/drawings/M052_drawing_02.jpg,,2,,,
M052,drawing,M052,detail_assets/drawings/M052_drawing_03.jpg,,3,,,
M078-79-2,drawing,M078-79-2,detail_assets/drawings/M78-79-2_drawing_01.jpg,,1,,,
M078-79-4,drawing,M078-79-4,detail_assets/drawings/M78-79-4_drawing_01.jpg,,1,,,
M078-79-5,drawing,M078-79-5,detail_assets/drawings/M78-79-5_drawing_01.jpg,,1,,,
M078-79-5,drawing,M078-79-5,detail_assets/drawings/M78-79-5_drawing_02.jpg,,2,,,
M078-79-5,drawing,M078-79-5,detail_assets/drawings/M78-79-5_drawing_03.jpg,,3,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_01.jpg,,1,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_02.jpg,,2,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_03.jpg,,3,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_04.jpg,,4,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_05.jpg,,5,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_06.jpg,,6,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_07.jpg,,7,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_08.jpg,,8,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_09.jpg,,9,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_10.jpg,,10,,,
M078-79,drawing,M078-79,detail_assets/drawings/M78-79_drawing_11.jpg,,11,,,
M090,drawing,M090,detail_assets/drawings/M090_drawing_01.jpg,,1,,,
M103,drawing,M103,detail_assets/drawings/M103_drawing_02.jpg,,2,,,
M103,drawing,M103,detail_assets/drawings/M103_drawing_03.jpg,,3,,,
M103,drawing,M103,detail_assets/drawings/M103_drawing_04.jpg,,4,,,
M103,drawing,M103,detail_assets/drawings/M103_drawing_05.jpg,,5,,,
N5,drawing,N5,detail_assets/drawings/N5_drawing_01.jpg,,1,,,
N5,drawing,N5,detail_assets/drawings/N5_drawing_02.jpg,,2,,,
N6-1,drawing,N6-1,detail_assets/drawings/N6-1_drawing_01.jpg,,1,,,
N6-1,drawing,N6-1,detail_assets/drawings/N6-1_drawing_02.jpg,,2,,,
N25,drawing,N25,detail_assets/drawings/N25_drawing_01.jpg,,1,,,
N25,drawing,N25,detail_assets/drawings/N25_drawing_02.jpg,,2,,,
N25,drawing,N25,detail_assets/drawings/N25_drawing_03.jpg,,3,,,
N25,drawing,N25,detail_assets/drawings/N25_drawing_04.jpg,,4,,,
N34,drawing,N34,detail_assets/drawings/N34_drawing_01.jpg,,1,,,
